
2022/10/09 (13:15:01) | ===> btop++ v.1.2.12
2022/10/09 (13:15:01) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2022/10/09 (19:51:25) | ===> btop++ v.1.2.12
2022/10/09 (19:51:25) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2022/10/10 (18:27:13) | ===> btop++ v.1.2.12
2022/10/10 (18:27:13) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2022/10/10 (19:04:34) | ===> btop++ v.1.2.12
2022/10/10 (19:04:34) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2022/10/12 (16:07:06) | ===> btop++ v.1.2.12
2022/10/12 (16:07:06) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2022/10/13 (16:37:58) | ===> btop++ v.1.2.12
2022/10/13 (16:37:58) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2022/10/17 (01:13:30) | ===> btop++ v.1.2.12
2022/10/17 (01:13:30) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2022/10/19 (22:56:47) | ===> btop++ v.1.2.12
2022/10/19 (22:56:47) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.

2022/10/26 (17:03:32) | ===> btop++ v.1.2.12
2022/10/26 (17:03:32) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
